EAN;KOD;Regał;Półka;Data przyjęcia;Data ważności;STAN
8024985008044;;C;2;26.05.2025;1.02.2026;1
8024985008044;;J;4;28.07.2025;1.02.2026;4
8024985011044;;M;3;22.03.2025;1.08.2025;1
8029689004897;;A;1;19.05.2025;1.08.2027;1
8029689023294;;W;5;28.07.2025;1.05.2028;2
8032738360806;;W;4;28.08.2025;1.05.2027;1
8032738361216;;A;1;14.07.2025;1.01.2027;1
8033267890710;;J;3;11.08.2025;1.09.2025;1
8034034860042;;G;1;12.05.2025;1.01.2027;1
8034034861681;;G;2;12.05.2025;1.03.2028;1
8412439285064;;F;6;4.08.2025;1.01.2028;1
8412439286917;;P;3;9.06.2025;1.11.2028;2
8435030563003;;R;2;21.07.2025;1.03.2028;1
8435030571725;;C;4;28.08.2025;1.04.2027;1
8435030572661;;M;1;14.06.2024;1.05.2028;82
8435507871358;;D;4;14.06.2024;1.05.2029;1
8436006835759;;U;4;9.06.2025;1.11.2026;1
8437001476701;;W;3;14.04.2025;1.02.2028;1
8437015393445;;M;2;28.07.2025;1.10.2025;2
8437015940373;;C;2;10.03.2025;1.03.2026;2
8586011381496;;W;5;7.07.2025;1.04.2026;1
8586011381526;;H;1;14.08.2025;7.07.2026;1
8586011382066;;K;4;11.08.2025;1.06.2026;3
8586011382912;;K;3;11.08.2025;1.06.2026;2
8586011382929;;U;1;11.08.2025;1.07.2026;2
8586011382974;;T;4;21.07.2025;1.06.2026;1
8586019160291;;Y;4;28.08.2025;1.04.2026;2
8588004918023;;A;7;28.08.2025;1.05.2026;22
8588004918030;;Y;6;21.07.2025;1.05.2026;10
8588004918047;;A;3;14.07.2025;1.03.2026;5
8588004918054;;G;3;26.05.2025;1.03.2026;9
8588004918061;;Y;6;21.07.2025;1.05.2026;10
8588004918078;;L;4;28.08.2025;1.07.2026;22
8588004918344;;A;4;23.06.2025;1.05.2026;11
8588006618129;;A;4;7.07.2025;1.04.2026;5
8588006618150;;A;3;7.07.2025;1.04.2026;3
8588006757392;;L;1;19.05.2025;1.03.2026;5
8588006757705;;I;2;7.04.2025;1.01.2026;1
8588007030111;;Y;1;21.07.2025;1.11.2026;1
8588009572039;;B;1;28.08.2025;1.04.2026;4
8588009572183;;C;4;7.07.2025;1.02.2026;3
8588009572213;;J;2;7.04.2025;1.09.2025;2
8593539292692;;E;4;14.06.2024;5.05.2029;1
8594006661799;;Y;2;30.06.2025;1.01.2027;1
8594006663755;;C;3;12.05.2025;1.02.2026;3
8594006663809;;A;5;21.07.2025;1.05.2026;1
8594006666480;;R;2;11.08.2025;1.03.2027;7
8594006666497;;R;1;11.08.2025;1.03.2027;8
8594006667111;;F;2;31.03.2025;1.02.2026;1
8594006667524;;O;2;2.06.2025;1.01.2027;1
8594006667623;;T;3;2.06.2025;1.10.2027;2
8594006667647;;B;7;14.08.2025;13.12.2026;29
8594006667692;;N;4;14.07.2025;1.03.2027;9
8594006668187;;C;5;16.06.2025;1.10.2026;25
8594006668217;;P;4;4.08.2025;1.05.2027;7
8594006668224;;M;4;14.07.2025;1.03.2027;13
8594006668262;;B;2;21.10.2024;25.07.2026;1
8594006668279;;E;1;14.08.2025;4.03.2027;37
8594006668323;;A;2;30.06.2025;1.12.2026;1
8594006668330;;W;5;16.06.2025;1.04.2027;4
8594006668354;;U;5;28.08.2025;1.03.2027;6
8594006668408;;U;4;28.08.2025;1.01.2027;56
8594006668439;;R;2;23.06.2025;1.03.2027;5
8594015704692;;F;4;11.08.2025;1.02.2028;1
8594015705408;;A;1;14.04.2025;1.01.2028;1
8594015707273;;B;1;19.05.2025;1.09.2027;1
8594062350439;;X;2;16.06.2025;1.04.2027;1
8594071211370;;Y;6;28.08.2025;1.05.2026;2
8594071211998;;Y;5;7.07.2025;1.05.2026;1
8594071212377;;U;4;11.08.2025;1.03.2026;1
8595178200748;;C;7;14.08.2025;1.07.2027;3
8595178201714;;A;5;30.06.2025;1.07.2027;1
8595178201936;;C;3;14.08.2025;1.02.2028;2
8595178204968;;W;5;28.07.2025;1.01.2028;2
8595178206030;;W;1;3.03.2025;1.09.2026;1
8595178206030;;Y;6;3.03.2025;1.09.2026;1
8595178210853;;J;1;28.08.2025;1.12.2027;2
8595178216008;;K;5;28.08.2025;1.10.2026;2
8595178217081;;L;5;16.06.2025;1.02.2027;2
8595178218736;;P;5;21.07.2025;1.03.2027;1
8595178220289;;U;5;9.06.2025;1.04.2026;1
8595178227721;;G;2;4.08.2025;1.04.2027;1
8595582406576;;T;5;14.04.2025;1.09.2025;1
8595582413499;;A;5;12.11.2024;1.09.2026;1
8595582418012;;J;4;28.08.2025;1.06.2026;1
8595582418111;;R;5;28.08.2025;1.07.2026;1
8595582418333;;U;6;21.07.2025;1.05.2026;1
8595582428196;;X;3;28.08.2025;1.11.2025;2
8595582429131;;T;5;22.04.2025;1.05.2026;4
8595582430243;;I;2;28.08.2025;1.03.2026;4
8595582430564;;K;2;28.08.2025;11.10.2025;1
8595685230382;;H;5;26.05.2025;1.11.2025;2
8699266390868;;T;5;16.06.2025;1.01.2027;1
8699266394842;;O;5;19.05.2025;1.01.2027;2
8710277135443;;G;4;6.09.2024;1.12.2027;1
8710277742481;;X;1;28.07.2025;1.12.2029;1
8711542002323;;J;3;22.03.2025;1.11.2025;1
8711542101156;;T;3;9.12.2024;1.11.2025;2
8712439040503;;S;5;11.08.2025;1.02.2027;1
8712439040909;;U;6;7.07.2025;1.03.2027;1
8713576003871;;A;2;3.02.2025;1.06.2026;1
8713576004267;;B;6;4.08.2025;1.06.2027;1
8713576008845;;E;1;4.08.2025;1.10.2026;1
8713576100129;;A;4;7.10.2024;1.06.2026;1
8713576207200;;L;5;28.08.2025;1.06.2026;1
8713576271249;;S;5;11.08.2025;1.09.2026;1
8713576271461;;P;5;9.06.2025;1.03.2026;1
8713576271621;;S;5;11.08.2025;1.12.2026;1
8713576273748;;U;2;7.04.2025;1.04.2026;1
8713576282504;;S;3;4.08.2025;1.01.2027;1
8714265090127;;T;2;14.07.2025;1.07.2026;1
8714265290350;;B;2;19.05.2025;1.07.2026;2
8714265973925;;W;3;9.06.2025;1.01.2027;1
8717496900135;;W;1;21.07.2025;1.03.2029;1
8717496900142;;B;5;25.11.2024;1.01.2028;1
8717496900173;;U;5;4.08.2025;1.03.2029;3
8717496900180;;T;2;4.08.2025;1.02.2028;2
8717496906700;;A;2;16.06.2025;1.06.2026;1
8717496906700;;T;4;16.06.2025;1.06.2026;1
8717496906946;;P;3;14.07.2025;1.04.2027;1
8717496907097;;H;4;14.07.2025;1.02.2028;1
8718421272228;;I;3;11.08.2025;1.07.2026;10
8718421272235;;C;5;28.07.2025;1.07.2026;1
8718421272273;;A;3;23.06.2025;1.01.2026;1
8718754501972;;L;5;29.08.2025;28.11.2025;1
8718754502016;;Y;4;14.08.2025;19.01.2026;1
8718754502016;;U;6;14.08.2025;19.01.2026;3
8718754502054;;M;5;28.08.2025;1.03.2026;2
8718754502092;;T;2;14.08.2025;16.02.2026;2
8718754502092;;N;2;14.08.2025;16.02.2026;3
8718754502191;;P;5;21.07.2025;1.12.2025;1
8718754502313;;M;5;28.08.2025;1.03.2026;2
8718754505062;;W;4;28.08.2025;1.01.2026;1
8718754506496;;H;4;28.08.2025;1.06.2027;3
8718754506519;;I;3;7.07.2025;1.11.2025;1
8718976009577;;Y;3;14.07.2025;1.11.2025;2
8718976009577;;H;5;14.07.2025;1.11.2025;1
8718976009584;;O;5;4.08.2025;1.02.2028;1
8718976016339;;N;3;21.07.2025;1.01.2027;1
8718976016339;;E;1;4.08.2025;1.01.2027;1
8718976017268;;H;4;15.07.2024;20.12.2026;1
8718976020046;;M;3;22.03.2025;1.07.2027;1
8718976020145;;E;1;28.08.2025;1.11.2026;4
8718976020183;;A;6;28.08.2025;1.03.2026;1
8718976020244;;X;5;28.07.2025;1.10.2025;1
8718976020510;;C;6;30.06.2025;1.05.2026;1
8720618657329;;Y;1;22.04.2025;1.01.2027;2
8720618657497;;K;1;14.08.2025;1.01.2027;1
8720908031082;;S;1;4.08.2025;1.01.2027;2
87614019574;;P;2;21.07.2025;1.03.2028;1
87614113357;;X;2;16.06.2025;1.10.2027;1
87614210032;;U;3;14.07.2025;1.04.2028;1
8850620888012;;S;1;31.03.2025;1.04.2026;1
8856848001318;;T;3;14.08.2025;16.12.2025;3
8856848001370;;I;1;28.07.2025;1.11.2025;1
8936181660417;;N;5;14.08.2025;20.02.2027;4
8936181660431;;U;3;4.08.2025;1.12.2026;8
8936181660431;;A;4;11.08.2025;1.12.2026;2
9004617062926;;B;2;26.05.2025;1.02.2026;1
9020200029251;;A;3;21.07.2025;1.04.2026;1
9020200029763;;R;1;4.08.2025;1.11.2025;1
9120008991306;;F;2;31.03.2025;1.11.2025;2
9120008993591;;Y;4;14.04.2025;1.07.2026;1
9120008994185;;X;2;12.05.2025;1.11.2026;3
9120008994222;;T;4;19.05.2025;1.11.2026;2
9120008994260;;M;5;28.07.2025;1.11.2026;3
9120008994765;;W;5;21.07.2025;1.02.2027;1
9120008995823;;I;1;12.05.2025;1.09.2026;11
9120008996479;;W;5;12.05.2025;1.01.2026;2
9120008998503;;B;5;19.05.2025;1.05.2026;1
9120008998565;;T;5;19.05.2025;1.08.2026;1
9120048830368;;T;1;10.02.2025;1.07.2026;1
9120048831150;;C;2;18.04.2025;1.01.2027;1
9120048833260;;B;3;16.07.2024;1.02.2026;1
9120100630066;;P;4;22.04.2025;1.03.2026;6
9120111880481;;C;2;14.06.2024;1.10.2025;1
9772450250205;;C;1;14.06.2024;12.05.2029;8
9772450250205;;C;1;14.06.2024;13.05.2029;9
9772450250205;;C;1;14.06.2024;14.05.2029;3
9772450250205;;C;1;14.06.2024;15.05.2029;2
9772450250205;;C;1;14.06.2024;16.05.2029;8
9772450250205;;C;1;14.06.2024;17.05.2029;3
9772450250205;;C;1;14.06.2024;18.05.2029;1
9772450250205;;C;1;14.06.2024;19.05.2029;1
9772450250304;;C;2;14.06.2024;21.05.2029;7
9772450250304;;C;2;14.06.2024;22.05.2029;3
9788325339289;;D;2;14.06.2024;23.05.2029;1
9788378604921;;D;1;14.06.2024;25.05.2029;1
9788378604969;;D;1;14.06.2024;26.05.2029;1
