EAN;KOD;Regał;Półka;Data przyjęcia;Data ważności;STAN
3609510004644;;E;1;14.06.2024;04.01.2029;1
3609510100421;;E;1;14.06.2024;05.01.2029;3
4008115896200;;D;1;14.06.2024;12.01.2029;4
4044889012255;;L;1;14.06.2024;01.10.2025;1
5902973150766;;E;1;14.06.2024;12.02.2029;1
5904720070396;;D;1;14.06.2024;17.03.2029;1
9772450250205;;C;1;14.06.2024;12.05.2029;8
9772450250205;;C;1;14.06.2024;13.05.2029;9
9772450250205;;C;1;14.06.2024;14.05.2029;3
9772450250205;;C;1;14.06.2024;15.05.2029;2
9772450250205;;C;1;14.06.2024;16.05.2029;8
9772450250205;;C;1;14.06.2024;17.05.2029;3
9772450250205;;C;1;14.06.2024;18.05.2029;1
9772450250205;;C;1;14.06.2024;19.05.2029;1
9788378604921;;D;1;14.06.2024;25.05.2029;1
9788378604969;;D;1;14.06.2024;26.05.2029;1
5412360023097;;B;1;14.06.2024;01.01.2028;1
8435030572661;;M;1;14.06.2024;01.05.2028;79
092399706236;;E;2;14.06.2024;10.05.2029;1
3154144862141;;E;2;14.06.2024;03.01.2029;1
4005394286197;;w;2;14.06.2024;31.10.2025;1
4891635809108;;F;2;14.06.2024;20.01.2029;1
5901130001705;;D;2;14.06.2024;26.01.2029;1
5902150665847;;E;2;14.06.2024;05.02.2029;1
5902768527292;;R;2;14.06.2024;01.12.2030;1
5902973170924;;E;2;14.06.2024;13.02.2029;8
5904473771748;;I;2;14.06.2024;01.11.2025;1
5904517001114;;F;2;14.06.2024;01.05.2026;4
5907465668439;;D;2;14.06.2024;02.04.2029;2
5907690851675;;E;2;14.06.2024;09.04.2029;1
680275060055;;K;2;14.06.2024;30.09.2025;1
8009004812833;;C;2;14.06.2024;01.09.2025;1
8021886093919;;D;2;14.06.2024;28.04.2029;1
9772450250304;;C;2;14.06.2024;21.05.2029;7
9772450250304;;C;2;14.06.2024;22.05.2029;3
9788325339289;;D;2;14.06.2024;23.05.2029;1
9120111880481;;C;2;14.06.2024;01.10.2025;1
3609510120269;;E;3;14.06.2024;06.01.2029;3
5901389562729;;D;3;14.06.2024;28.01.2029;4
5901498057352;;D;3;14.06.2024;31.01.2029;1
5901503652534;;E;3;14.06.2024;02.02.2029;9
5902921986416;;D;3;14.06.2024;10.02.2029;8
5903273510694;;D;3;14.06.2024;18.02.2029;1
5903624640681;;H;3;14.06.2024;01.04.2026;1
5903686300516;;D;3;14.06.2024;21.02.2029;1
5903794185821;;H;3;14.06.2024;08.03.2029;1
5904501637022;;D;3;14.06.2024;16.03.2029;1
5905548949055;;E;3;14.06.2024;19.03.2029;1
5905548961842;;E;3;14.06.2024;20.03.2029;1
5907525348479;;N;3;14.06.2024;01.12.2030;1
8000825256776;;E;3;14.06.2024;24.04.2029;1
4004182030042;;E;4;14.06.2024;07.01.2029;1
5412360001750;;x;4;14.06.2024;01.10.2027;1
5901716993691;;Y;4;14.06.2024;01.08.2026;3
5906858014174;;E;4;14.06.2024;26.03.2029;1
8435507871358;;D;4;14.06.2024;01.05.2029;1
8593539292692;;E;4;14.06.2024;05.05.2029;1
5903111710200;;K;4;14.06.2024;04.12.2025;1
4012824405387;;U;5;14.06.2024;30.09.2026;1
5900900003574;;I;5;14.06.2024;01.03.2026;1
5901466229729;;D;5;14.06.2024;30.01.2029;1
5902581101266;;E;5;14.06.2024;09.02.2029;2
5903949410518;;U;5;14.06.2024;01.11.2025;2
5906360110579;;E;5;14.06.2024;24.03.2029;1
5907214005379;;E;5;14.06.2024;29.03.2029;1
5907214101040;;E;5;14.06.2024;30.03.2029;12
5907620187959;;D;5;14.06.2024;07.04.2029;1
4779048080799;;B;6;14.06.2024;01.01.2026;1
5902811789288;;B;6;14.06.2024;01.10.2027;1
5903162070193;;E;6;14.06.2024;15.02.2029;1
5906190685698;;E;6;14.06.2024;23.03.2029;1
5906858023138;;E;6;14.06.2024;27.03.2029;1
5907465664653;;E;6;14.06.2024;01.04.2029;1
4027521311701;;E;7;14.06.2024;15.01.2029;1
5997412750690;;E;7;14.06.2024;20.04.2029;1
8002885005110;;A;7;14.06.2024;01.09.2025;9
4902506072641;;E;8;14.06.2024;23.01.2029;1
5901389564587;;E;8;14.06.2024;29.01.2029;1
5903686320682;;E;8;14.06.2024;03.03.2029;1
5904287061103;;E;8;14.06.2024;12.03.2029;2
5904287305030;;E;8;14.06.2024;13.03.2029;1
5906910810331;;E;8;14.06.2024;28.03.2029;1
5906365702960;;Y;1;01.07.2024;01.05.2026;1
8002849925683;;H;3;15.07.2024;01.12.2029;1
8718976017268;;H;4;15.07.2024;20.12.2026;1
5906293639413;;Y;5;15.07.2024;01.02.2027;1
4106060076026;;O;5;15.07.2024;03.05.2027;1
5905951196145;;F;6;15.07.2024;01.06.2026;18
9120048833260;;B;3;16.07.2024;01.02.2026;1
8050534144192;;A;5;16.07.2024;05.02.2027;1
4012824402218;;U;2;30.07.2024;31.03.2027;1
5906204022686;;S;3;30.07.2024;01.03.2026;1
5906205501968;;M;3;30.07.2024;20.08.2025;3
5906293639390;;X;4;30.07.2024;01.02.2027;1
5906750252117;;J;4;12.08.2024;01.10.2025;1
8009004108578;;c;2;14.08.2024;23.11.2025;1
5903246861631;;a;2;19.08.2024;04.05.2026;1
4005009102836;;G;2;27.08.2024;24.09.2025;2
5902983781455;;U;4;27.08.2024;26.03.2026;2
5902741004475;;O;1;02.09.2024;05.01.2026;2
5901866000218;;M;4;02.09.2024;18.03.2027;1
5701410410872;;H;3;06.09.2024;01.12.2027;1
8710277135443;;G;4;06.09.2024;01.12.2027;1
8009004812840;;Y;2;09.09.2024;02.09.2025;1
5906293639048;;W;4;09.09.2024;01.02.2027;1
4260311983522;;W;5;09.09.2024;01.09.2025;1
8002885016796;;A;7;09.09.2024;05.09.2025;1
5902425050248;;L;2;16.09.2024;01.01.2026;1
5907709957527;;P;4;23.09.2024;23.05.2026;1
5902425050248;;I;4;23.09.2024;01.01.2026;1
5906961181060;;H;2;26.09.2024;01.10.2025;2
5902741004321;;A;2;01.10.2024;02.06.2026;1
4010139181064;;A;1;07.10.2024;01.03.2026;1
4044889002515;;U;2;07.10.2024;01.09.2025;1
5906732624109;;C;3;07.10.2024;01.06.2026;1
4005394116210;;U;4;07.10.2024;01.02.2028;1
8713576100129;;A;4;07.10.2024;01.06.2026;1
5906750251554;;U;5;07.10.2024;01.03.2027;1
5902811788564;;R;1;21.10.2024;01.09.2027;1
5903794183728;;A;1;21.10.2024;01.01.2026;1
5902609001516;;T;2;21.10.2024;01.09.2025;2
8594006668262;;B;2;21.10.2024;25.07.2026;1
5906204015497;;B;3;21.10.2024;01.07.2026;1
5906293639017;;S;1;28.10.2024;01.09.2027;1
5905644489202;;C;2;28.10.2024;01.09.2025;1
5902768527469;;X;4;28.10.2024;01.05.2026;1
5906293639680;;S;2;04.11.2024;01.02.2027;1
3800218253987;;B;4;04.11.2024;01.09.2025;1
8009004812833;;B;6;04.11.2024;01.09.2025;3
087614117423;;A;6;04.11.2024;01.12.2026;1
5902650276178;;A;6;04.11.2024;01.12.2026;1
5903246861136;;S;2;12.11.2024;01.12.2025;2
5907636994596;;A;2;12.11.2024;01.05.2026;2
5906750251615;;L;3;12.11.2024;01.01.2027;2
