EAN;KOD;Regał;Półka;Data przyjęcia;Data ważności;STAN
087614014234;;B;2;22.04.2025;01.10.2027;1
087614019239;;G;1;30.06.2025;01.09.2027;1
087614117423;;A;6;04.11.2024;01.12.2026;1
087614117676;;P;2;30.04.2025;01.05.2027;1
087614210346;;A;1;22.04.2025;01.08.2027;1
092399706236;;E;2;14.06.2024;10.05.2029;1
3154144862141;;E;2;14.06.2024;03.01.2029;1
3184340000108;;C;6;07.04.2025;01.09.2025;1
3184340000115;;H;2;07.04.2025;01.10.2025;1
3184340000535;;U;5;01.09.2025;28.01.2026;1
3268350000324;;F;5;29.11.2024;02.10.2025;3
3268350120237;;P;3;12.11.2024;27.08.2025;1
3273221115588;;O;1;29.11.2024;01.10.2025;1
3375190410012;;N;5;04.08.2025;01.10.2026;19
3375190410036;;T;5;21.07.2025;01.02.2026;5
3383482306554;;N;3;08.09.2025;01.01.2028;1
3383482306615;;N;3;08.09.2025;01.01.2028;1
3383482306622;;U;1;08.09.2025;01.01.2029;1
3445020001878;;R;4;01.09.2025;01.06.2026;2
3445020002554;;G;4;28.08.2025;01.10.2026;1
3445020002592;;J;2;28.07.2025;01.07.2026;1
3445020002615;;B;1;01.09.2025;01.07.2026;1
3483981000967;;K;2;14.07.2025;01.10.2026;1
3483981001292;;K;2;14.07.2025;01.09.2026;1
3609510004644;;E;1;14.06.2024;04.01.2029;1
3609510100421;;E;1;14.06.2024;05.01.2029;3
3609510120269;;E;3;14.06.2024;06.01.2029;3
3700110005397;;A;5;30.04.2025;01.08.2026;1
3760092217942;;C;5;13.01.2025;01.10.2025;1
3760092217942;;B;6;22.04.2025;01.11.2025;1
3800218252669;;S;2;12.05.2025;01.03.2026;1
3800218252904;;Y;3;26.05.2025;01.10.2025;1
3800218254502;;C;4;07.07.2025;01.04.2026;1
3800218254588;;B;6;07.04.2025;01.12.2025;1
3800218255219;;C;5;07.07.2025;01.04.2026;4
3800233685428;;K;4;13.01.2025;01.12.2025;1
3800233685428;;J;2;20.01.2025;01.12.2025;2
3800233685435;;A;2;09.06.2025;01.12.2025;1
3800233781236;;C;1;14.08.2025;09.06.2026;1
3800233782370;;F;6;04.08.2025;01.04.2026;2
3800233782455;;T;3;28.07.2025;01.12.2025;4
3800236132226;;R;3;02.06.2025;01.12.2026;1
3800236132264;;Y;3;21.07.2025;01.07.2026;1
3800236132318;;F;1;28.07.2025;01.11.2026;1
3800236132332;;Y;5;17.03.2025;01.08.2026;1
3800500324036;;F;3;20.01.2025;01.01.2027;1
3800500324432;;R;3;14.07.2025;01.01.2027;1
3800500324548;;T;2;26.05.2025;01.09.2027;2
3800500324760;;M;3;02.06.2025;01.01.2027;1
3800500324784;;B;3;17.02.2025;01.01.2027;2
3800500324784;;M;3;02.06.2025;01.01.2027;1
3800500324791;;F;3;20.01.2025;01.01.2027;1
3800500324791;;J;4;22.03.2025;01.01.2027;1
4000345298786;;N;4;10.03.2025;01.10.2026;1
4000799109379;;P;2;14.08.2025;01.08.2026;1
4000799109560;;J;5;05.05.2025;01.06.2026;1
4000915105520;;W;5;21.07.2025;01.09.2025;1
4000915105537;;G;5;04.08.2025;25.08.2025;1
4003247102243;;F;2;30.06.2025;01.09.2025;1
4004191001224;;O;1;30.12.2024;01.09.2026;1
4004191005772;;A;7;22.04.2025;01.06.2026;1
4004191055821;;Y;5;19.05.2025;01.11.2026;3
4004790037358;;Y;4;08.09.2025;04.04.2026;2
4005009102836;;G;2;27.08.2024;24.09.2025;2
4005009102911;;M;4;14.07.2025;01.03.2026;2
4005394116111;;C;4;28.08.2025;01.11.2026;2
4005394116210;;U;4;07.10.2024;01.02.2028;1
4005394121023;;C;1;14.08.2025;31.10.2026;3
4005394200537;;S;3;10.02.2025;01.01.2026;1
4005394284872;;U;6;07.07.2025;01.02.2026;1
4005394286197;;w;2;14.06.2024;31.10.2025;1
4005394287866;;S;2;28.08.2025;01.09.2026;4
4005967005392;;H;5;26.05.2025;01.01.2026;1
4006040202844;;G;4;30.06.2025;01.05.2026;1
4006040217411;;U;3;19.11.2024;01.10.2025;1
4006040271659;;L;4;10.02.2025;01.09.2025;1
4006040307723;;S;4;23.12.2024;01.10.2026;1
4006040488897;;U;4;14.07.2025;01.05.2026;1
4007843088925;;C;4;28.08.2025;01.06.2027;2
4008115896200;;D;1;14.06.2024;12.01.2029;4
4010139182016;;Y;3;08.09.2025;01.02.2026;1
4010139185000;;N;3;08.09.2025;01.03.2026;1
4012346157306;;S;3;08.09.2025;01.11.2027;1
4012346626505;;U;3;14.08.2025;01.01.2027;1
4012824400252;;C;2;21.07.2025;01.02.2028;1
