EAN;KOD;Regał;Półka;Data przyjęcia;Data ważności;STAN
087614014234;;B;2;22.04.2025;01.10.2027;1
087614020860;;C;3;13.01.2025;01.08.2026;1
087614117423;;A;6;04.11.2024;01.12.2026;1
087614117676;;P;2;30.04.2025;01.05.2027;1
092399706236;;E;2;14.06.2024;10.05.2029;1
3154144862141;;E;2;14.06.2024;03.01.2029;1
3184340000108;;C;6;07.04.2025;01.09.2025;1
3184340000115;;H;2;07.04.2025;01.10.2025;1
3268350000195;;P;3;16.12.2024;01.10.2025;1
3268350000324;;F;5;29.11.2024;02.10.2025;4
3268350120237;;P;3;12.11.2024;01.08.2025;1
3268350120305;;N;5;07.10.2024;01.06.2025;1
3273220180419;;M;3;30.07.2024;24.05.2025;1
3273221115588;;O;1;29.11.2024;01.10.2025;1
3302950003474;;B;3;22.04.2025;01.05.2026;1
3375190410012;;N;4;07.04.2025;01.07.2026;10
3375190410012;;Y;3;14.04.2025;01.07.2026;2
3375190410012;;A;6;22.04.2025;01.07.2026;1
3375190410036;;J;4;12.05.2025;01.02.2026;2
3380380044915;;I;1;22.03.2025;01.07.2025;1
3380380057960;;T;1;12.05.2025;01.07.2026;1
3380380078019;;T;4;12.05.2025;01.11.2025;1
3380380103070;;T;1;12.05.2025;01.03.2026;1
3396410030599;;C;4;28.10.2024;01.07.2025;1
3396411230073;;A;3;03.02.2025;01.09.2025;1
3483981002060;;Y;6;10.03.2025;01.06.2026;1
3609510004644;;E;1;14.06.2024;04.01.2029;1
3609510100421;;E;1;14.06.2024;05.01.2029;3
3609510120269;;E;3;14.06.2024;06.01.2029;3
3700110005397;;A;5;30.04.2025;01.08.2026;1
3700112016629;;N;3;30.04.2025;01.01.2026;1
3760092217942;;C;5;13.01.2025;01.10.2025;1
3760092217942;;B;6;22.04.2025;01.11.2025;1
3760092217959;;P;2;02.06.2025;01.09.2025;1
3760092218277;;O;4;31.03.2025;01.02.2026;1
3800218252669;;S;2;12.05.2025;01.03.2026;6
3800218252904;;T;3;12.05.2025;01.10.2025;3
3800218252904;;Y;3;26.05.2025;01.10.2025;1
3800218253987;;B;4;04.11.2024;01.09.2025;1
3800218254588;;B;6;07.04.2025;01.12.2025;2
3800218255042;;U;3;26.05.2025;01.03.2026;9
3800233685428;;J;2;20.01.2025;01.12.2025;2
3800233685428;;K;4;13.01.2025;01.12.2025;1
3800233780611;;J;3;07.04.2025;01.12.2025;5
3800233781250;;I;2;12.05.2025;01.05.2026;2
3800233782400;;O;2;07.01.2025;01.05.2025;1
3800233782448;;J;3;07.04.2025;01.11.2025;5
3800236130567;;O;4;07.01.2025;01.05.2025;1
3800236132226;;R;3;02.06.2025;01.12.2026;1
3800236132301;;L;2;19.05.2025;01.02.2026;2
3800236132318;;W;2;02.06.2025;01.11.2026;1
3800236132325;;B;1;31.03.2025;01.02.2026;1
3800236132332;;Y;5;17.03.2025;01.08.2026;1
3800236132387;;U;6;26.05.2025;01.05.2026;1
3800500324012;;M;3;02.06.2025;01.01.2027;3
3800500324036;;F;3;20.01.2025;01.01.2027;1
3800500324180;;N;1;19.05.2025;01.09.2027;1
3800500324180;;U;1;02.06.2025;01.09.2027;2
3800500324258;;U;6;26.05.2025;01.02.2028;1
3800500324357;;W;3;27.01.2025;01.01.2027;1
3800500324432;;I;1;07.04.2025;01.12.2029;1
